#ENCODE_data_set,TF_name,JASPAR2014_matrix_id
wgEncodeAwgTfbsBroadDnd41CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsBroadGm12878CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsBroadH1hescCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsBroadHelas3CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsBroadHepg2CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsBroadHmecCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsBroadHsmmCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsBroadHsmmtCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsBroadHuvecCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsBroadK562CtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsBroadNhaCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsBroadNhdfadCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsBroadNhekCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsBroadNhlfCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsBroadOsteoblCtcfUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsHaibA549Creb1sc240V0416102Dex100nmUniPk,CREB1,MA0018.2
wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xDex100nmUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xEtoh02UniPk,CTCF,MA0139.1
wgEncodeAwgTfbsHaibA549Elf1V0422111Etoh02UniPk,ELF1,MA0473.1
wgEncodeAwgTfbsHaibA549Ets1V0422111Etoh02UniPk,ETS1,MA0098.2
wgEncodeAwgTfbsHaibA549Fosl2V0422111Etoh02UniPk,FOSL2,MA0478.1
wgEncodeAwgTfbsHaibA549Foxa1V0416102Dex100nmUniPk,FOXA1,MA0148.3
wgEncodeAwgTfbsHaibA549GabpV0422111Etoh02UniPk,GABPA,MA0062.2
wgEncodeAwgTfbsHaibA549NrsfV0422111Etoh02UniPk,REST,MA0138.2
wgEncodeAwgTfbsHaibA549Tcf12V0422111Etoh02UniPk,TCF12,MA0521.1
wgEncodeAwgTfbsHaibA549Usf1Pcr1xDex100nmUniPk,USF1,MA0093.2
wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk,USF1,MA0093.2
wgEncodeAwgTfbsHaibA549Usf1V0422111Etoh02UniPk,USF1,MA0093.2
wgEncodeAwgTfbsHaibA549Yy1cV0422111Etoh02UniPk,YY1,MA0095.2
wgEncodeAwgTfbsHaibA549Zbtb33V0422111Etoh02UniPk,ZBTB33,MA0527.1
wgEncodeAwgTfbsHaibEcc1CtcfcV0416102Dm002p1hUniPk,CTCF,MA0139.1
wgEncodeAwgTfbsHaibEcc1Foxa1sc6553V0416102Dm002p1hUniPk,FOXA1,MA0148.3
wgEncodeAwgTfbsHaibEcc1GrV0416102Dex100nmUniPk,NR3C1,MA0113.2
wgEncodeAwgTfbsHaibGm12878BatfPcr1xUniPk,BATF::JUN,MA0462.1
wgEncodeAwgTfbsHaibGm12878Cebpbsc150V0422111UniPk,CEBPB,MA0466.1
wgEncodeAwgTfbsHaibGm12878Ebf1sc137065Pcr1xUniPk,EBF1,MA0154.2
wgEncodeAwgTfbsHaibGm12878Egr1Pcr2xUniPk,EGR1,MA0162.2
